,Genome ID,Organism code,Organism name,Assembly
1203,T00721,cja,Cellvibrio japonicus,GCA_000019225.1
1204,T04725,ceb,Cellvibrio sp. PSBB023,GCA_002007605.1
1205,T04891,cell,Cellvibrio sp. PSBB006,GCA_002162135.1
1206,T06234,cek,Cellvibrio sp. KY-YJ-3,GCA_008806955.1
1207,T06422,ceg,Cellvibrio sp. KY-GH-1,GCA_008806975.1
1208,T00335,sde,Saccharophagus degradans,GCA_000013665.1
1209,T00952,ttu,Teredinibacter turnerae,GCA_000023025.1
1210,T02281,saga,Simiduia agarivorans,GCA_000305785.2
1211,T07868,marq,Marinagarivorans sp. GE09,GCA_021655555.1
1212,T03945,spoi,Spongiibacter sp. IMCC21906,GCA_001010805.1
1213,T04315,zal,Zhongshania aliphaticivorans,GCA_001586255.1
1214,T04832,osg,Oceanicoccus sagamiensis,GCA_002117105.1
1215,T04393,mthd,Microbulbifer thermotolerans,GCA_001617625.1
1216,T04560,micc,Microbulbifer aggregans,GCA_001750105.1
1217,T04709,maga,Microbulbifer agarilyticus,GCA_001999945.1
1218,T05421,mii,Microbulbifer sp. A4B17,GCA_003076275.1
1219,T06274,mict,Microbulbifer sp. THAF38,GCA_009363535.1
1220,T06404,mhyd,Microbulbifer hydrolyticus,GCA_009931115.1
1221,T07789,mcel,Microbulbifer celer,GCA_020991125.1
1222,T04687,hja,Halioglobus japonicus,GCA_001983995.1
1223,T06250,halc,Halioglobus maricola,GCA_009388985.1
1224,T06468,kim,Kineobactrum salinum,GCA_010669285.1
1225,T07243,afus,Aequoribacter fuscus,GCA_009910365.1
1226,T00124,cbu,Coxiella burnetii RSA 493,GCF_000007765.2
1227,T00632,cbs,Coxiella burnetii RSA 331,GCA_000018745.1
1228,T00583,cbd,Coxiella burnetii Dugway 5J108-111,GCA_000017105.1
1229,T00787,cbg,Coxiella burnetii CbuG_Q212,GCA_000019865.1
1230,T00788,cbc,Coxiella burnetii CbuK_Q154,GCA_000019885.1
1231,T03998,cey,Coxiella mudrowiae,GCA_001077715.1
1232,T03533,cea,Coxiella endosymbiont of Amblyomma americanum,GCA_000815025.1
1233,T06434,cend,Coxiella endosymbiont of Amblyomma sculptum,GCA_009883795.1
1234,T07596,ceno,Coxiella endosymbiont of Amblyomma nuttalli,GCA_018107685.1
1235,T05765,rvi,Candidatus Rickettsiella viridis,GCA_003966755.1
1236,T06205,alg,Aquicella lusitana,GCA_902459475.1
1237,T06267,asip,Aquicella siphonis,GCA_902459485.1
1238,T07659,ceq,Coxiella-like endosymbiont of Amblyomma americanum,GCA_002850495.1
1239,T00199,lpn,Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1),GCA_000008485.1
1240,T02174,lph,Legionella pneumophila subsp. pneumophila HL06041035 (serogroup 1),GCA_000306845.1
1241,T02175,lpo,Legionella pneumophila subsp. pneumophila Lorraine (serogroup 1),GCA_000306865.1
1242,T02511,lpu,Legionella pneumophila subsp. pneumophila LPE509,GCA_000347615.1
1243,T02689,lpm,Legionella pneumophila subsp. pneumophila Thunder Bay,GCA_000404245.1
1244,T00208,lpf,Legionella pneumophila Lens (serogroup 1),GCA_000048665.1
1245,T00209,lpp,Legionella pneumophila Paris (serogroup 1),GCA_000048645.1
1246,T00532,lpc,Legionella pneumophila Corby,GCA_000092545.1
1247,T01232,lpa,Legionella pneumophila 2300/99 Alcoy (serogroup 1),GCA_000092625.1
1248,T01726,lpe,Legionella pneumophila subsp. pneumophila ATCC 43290 (serogroup 12),GCA_000239175.1
1249,T01183,llo,Legionella longbeachae,GCA_000091785.1
1250,T03771,lfa,Legionella fallonii,GCA_000953135.1
1251,T03809,lha,Legionella hackeliae,GCA_000953655.1
1252,T03928,lok,Legionella oakridgensis,GCA_000512355.1
1253,T05016,lcd,Legionella clemsonensis,GCA_002240035.1
1254,T05191,les,Legionella endosymbiont of Polyplax serrata,GCA_002776555.1
1255,T05293,lsh,Legionella sainthelensi,GCA_002848365.2
1256,T05543,llg,Legionella lansingensis,GCA_900187355.1
1257,T05938,lib,Legionella israelensis,GCA_004571175.1
1258,T06170,lgt,Legionella geestiana,GCA_004571195.1
1259,T06275,ljr,Legionella jordanis,GCA_900637635.1
1260,T06506,lcj,Legionella cherrii,GCA_900635815.1
1261,T06599,lwa,Legionella waltersii,GCA_900187095.1
1262,T06800,lss,Legionella spiritensis,GCA_900637495.1
1263,T07063,ladl,Legionella adelaidensis,GCA_900637865.1
1264,T07713,lant,Legionella antarctica,GCA_011764505.1
1265,T03810,tmc,Tatlockia micdadei,GCA_000953635.1
1266,T00205,mca,Methylococcus capsulatus,GCA_000008325.1
1267,T06585,metu,Methylococcus geothermalis,GCA_012769535.1
1268,T01511,mmt,Methylomonas methanica,GCA_000214665.1
1269,T04191,mdn,Methylomonas denitrificans,GCA_000785705.2
1270,T04396,mdh,Methylomonas sp. DH-1,GCA_001644685.1
1271,T05118,mko,Methylomonas koyamae,GCA_002441955.1
1272,T05879,metl,Methylomonas sp. LW13,GCA_000702925.2
1273,T07508,mpad,Methylomonas paludis,GCA_018734325.1
1274,T07814,mell,Methylomonas sp. LL1,GCA_015711015.1
1275,T01649,mah,Methylotuvimicrobium alcaliphilum,GCA_000968535.1
1276,T05995,mbur,Methylotuvimicrobium buryatense,GCA_005931095.1
1277,T04929,mpsy,Methylovulum psychrotolerans,GCA_002209385.1
1278,T05638,mmai,Methylocaldum marinum,GCA_003584645.1
1279,T06248,mmob,Candidatus Methylospira mobilis,GCA_009498235.1
1280,T07025,mein,Methyloprofundus sp. INp10_methR40d,GCA_016592635.1
1281,T07433,moz,Methylogaea oryzae,GCA_019669985.1
1282,T07434,misz,Methylomagnum ishizawai,GCA_019670005.1
1283,T00214,ftu,Francisella tularensis subsp. tularensis SCHU S4,GCF_000008985.1
1284,T03888,ftq,Francisella tularensis subsp. tularensis SCHU S4 NR-28534,GCA_000978785.2
1285,T00381,ftf,Francisella tularensis subsp. tularensis FSC198,GCA_000009325.1
1286,T00495,ftw,Francisella tularensis subsp. tularensis WY96-3418,GCA_000016105.1
1287,T01938,ftr,Francisella tularensis subsp. tularensis NE061598,GCA_000023305.1
1288,T01761,ftt,Francisella tularensis subsp. tularensis TI0902,GCA_000248435.2
1289,T01762,ftg,Francisella tularensis subsp. tularensis TIGB03,GCA_000248415.2
1290,T00331,ftl,Francisella tularensis subsp. holarctica LVS,GCA_000009245.1
1291,T00399,fth,Francisella tularensis subsp. holarctica OSU18,GCA_000014605.1
1292,T00584,fta,Francisella tularensis subsp. holarctica FTNF002-00,GCA_000017785.1
1293,T02349,fts,Francisella tularensis subsp. holarctica F92,GCA_000313385.1
1294,T02350,fti,Francisella tularensis subsp. holarctica FSC200,GCA_000168775.2
1295,T03033,fto,Francisella tularensis subsp. holarctica PHIT-FT049,GCA_000524575.1
1296,T03713,ftc,Francisella tularensis subsp. holarctica FTT_1,GCA_000833235.1
1297,T03714,ftv,Francisella tularensis subsp. holarctica VT68,GCA_000833495.1
1298,T03715,ftz,Francisella tularensis subsp. holarctica 425,GCA_000833515.1
1299,T00698,ftm,Francisella tularensis subsp. mediasiatica FSC147,GCA_000018925.1
1300,T00432,ftn,Francisella tularensis subsp. novicida U112,GCA_000014645.1
1301,T03874,ftx,Francisella tularensis subsp. novicida U112,GCA_000833375.1
1302,T03873,ftd,Francisella tularensis subsp. novicida F6168,GCA_000833165.1
1303,T03875,fty,Francisella tularensis subsp. novicida DPG 3A-IS,GCA_000834965.1
1304,T01937,fcf,Francisella cf. novicida Fx1,GCA_000195535.1
1305,T02078,fcn,Francisella hispaniensis 3523,GCA_000195555.1
1306,T04700,fhi,Francisella hispaniensis FSC454,GCA_001885235.1
1307,T00652,fph,Francisella philomiragia subsp. philomiragia ATCC 25017,GCA_000019285.1
1308,T03764,fpt,Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L,GCA_000833455.1
1309,T03617,fpi,Francisella philomiragia O#319-029,GCA_000833195.1
1310,T03618,fpm,Francisella philomiragia O#319-036,GCA_000833295.1
1311,T03619,fpx,Francisella philomiragia O#319-067,GCA_000833215.1
1312,T03620,fpz,Francisella philomiragia GA01-2794,GCA_000833255.1
1313,T03621,fpj,Francisella philomiragia GA01-2801,GCA_000833315.1
1314,T01560,frt,Francisella salina,GCA_000219045.1
1315,T02112,fna,Francisella orientalis Toba 04,GCA_000262205.1
1316,T02952,fnl,Francisella orientalis LADL--07-285A,GCA_000505725.1
1317,T03403,frf,Francisella sp. FSC1006,GCA_000764555.1
1318,T04357,fper,Francisella persica,GCA_001275365.1
1319,T04972,fha,Francisella halioticida,GCA_002211785.1
1320,T05017,frx,Francisella uliginis,GCA_001895265.1
1321,T05204,frm,Francisella sp. MA067296,GCA_001879645.1
1322,T05636,frc,Francisella frigiditurris,GCA_001880225.1
1323,T06148,fad,Francisella adeliensis,GCA_003290445.1
1324,T06206,fmi,Francisella marina,GCA_008369765.1
1325,T06355,foo,Francisella opportunistica,GCA_003347135.1
1326,T07065,fnn,Francisella noatunensis subsp. noatunensis,GCA_014844275.1
1327,T07516,fsr,Francisella salimarina,GCA_018972105.1
1328,T03527,fgu,Allofrancisella guangzhouensis,GCA_000815225.1
1329,T06608,afri,Allofrancisella frigidaquae,GCA_012222825.1
1330,T06698,aii,Allofrancisella inopinata,GCA_012222965.1
1331,T00296,tcx,Hydrogenovibrio crunogenus,GCA_000012605.1
1332,T05808,htr,Hydrogenovibrio thermophilus,GCA_004028275.1
1333,T06677,hmar,Hydrogenovibrio marinus,GCA_013340845.1
1334,T01517,tcy,Thiomicrospira cyclica,GCA_000214825.1
1335,T03589,tao,Thiomicrospira aerophila,GCA_000227665.3
1336,T05796,thio,Thiomicrospira sp. S5,GCA_003991075.1
1337,T02055,mej,Methylophaga nitratireducenticrescens,GCA_000260985.3
1338,T02056,mec,Methylophaga frappieri,GCA_000260965.1
1339,T02265,cyq,Cycloclasticus sp. P1,GCA_000299965.1
1340,T02780,cza,Cycloclasticus zancles,GCA_000442595.1
1341,T05126,cyy,Cycloclasticus sp. PY97N,GCA_002443175.1
1342,T03982,psal,Piscirickettsia salmonis,GCA_000300295.4
1343,T05983,thig,Thiomicrorhabdus sediminis,GCA_005885815.1
1344,T07160,txa,Thiomicrorhabdus xiamenensis,GCA_013282625.1
1345,T06859,tse,Thiosulfatimonas sediminis,GCA_011398355.1
1346,T06856,tzo,Thiosulfativibrio zosterae,GCA_011398155.1
1347,T03616,tig,Thioploca ingrica,GCA_000828835.1
1348,T04090,blep,Beggiatoa leptomitoformis,GCA_001305575.3
1349,T06729,this,Candidatus Thiothrix singaporensis,GCA_013693955.1
1350,T07174,tun,Thiothrix unzii,GCA_017901175.1
1351,T07754,tlo,Thiothrix litoralis,GCA_017901135.1
1352,T07831,tsb,Thiothrix subterranea,GCA_016772315.1
1353,T07878,tani,Candidatus Thiothrix anitrata,GCA_017901155.1
1354,T00281,noc,Nitrosococcus oceani,GCA_000012805.1
1355,T01198,nhl,Nitrosococcus halophilus,GCA_000024725.1
1356,T01266,nwa,Nitrosococcus watsonii,GCA_000143085.1
1357,T05933,nwr,Nitrosococcus wardiae,GCA_004421105.1
1358,T01168,alv,Allochromatium vinosum,GCA_000025485.1
1359,T07447,atep,Allochromatium tepidum,GCA_018409545.1
1360,T02138,tvi,Thiocystis violascens,GCA_000227745.3
1361,T02397,tmb,Thioflavicoccus mobilis,GCA_000327045.1
1362,T03650,mpur,Marichromatium purpuratum,GCA_000224005.3
1363,T04171,tee,Candidatus Tenderia electrophaga,GCA_001447805.1
1364,T05173,ntt,Candidatus Nitrosoglobus terrae,GCA_002356115.1
1365,T05211,tsy,Candidatus Thiodictyon syntrophicum,GCA_002813775.1
1366,T05923,rhh,Rheinheimera sp. D18,GCA_004345025.1
1367,T06573,ttp,Thermochromatium tepidum,GCA_009664085.1
1368,T06962,ntg,Candidatus Nitrosacidococcus tergens,GCA_902810445.1
1369,T07019,thip,Thiohalocapsa sp. PB-PSB1,GCA_016745215.1
1370,T07151,cjap,Caldichromatium japonicum,GCA_011290485.1
1371,T07253,thim,Thiocapsa sp. M50B4,GCA_018399035.1
1372,T07840,tbog,Thiocapsa bogorovii,GCA_021228795.1
1373,T00391,aeh,Alkalilimnicola ehrlichii,GCA_000014785.1
1374,T00462,hha,Halorhodospira halophila,GCA_000015585.1
1375,T06158,hhk,Halorhodospira halochloris,GCA_002356555.2
1376,T03059,hhc,Ectothiorhodospira haloalkaliphila,GCA_000583815.1
1377,T04374,ebs,Ectothiorhodospira sp. BSL-9,GCA_001632845.1
1378,T00840,tgr,Thioalkalivibrio sulfidiphilus,GCA_000021985.1
1379,T01174,tkm,Thioalkalivibrio sp. K90mix,GCA_000025545.1
1380,T02408,tni,Thioalkalivibrio nitratireducens,GCA_000321415.2
1381,T03590,tti,Thioalkalivibrio paradoxus,GCA_000227685.3
1382,T03959,tvr,Thioalkalivibrio versutus,GCA_001020955.1
1383,T02685,ssal,Spiribacter salinus,GCA_000319575.2
1384,T02888,spiu,Spiribacter curvatus,GCA_000485905.1
1385,T06143,sros,Spiribacter roseus,GCA_002813635.1
1386,T06294,spiz,Spiribacter sp. 2438,GCA_009676705.1
1387,T04495,aprs,Acidihalobacter prosperus,GCA_001753245.1
1388,T01104,hna,Halothiobacillus neapolitanus,GCA_000024765.1
1389,T04441,haz,Halothiobacillus sp. LS2,GCA_001663815.1
1390,T04011,wma,Wenzhouxiangella marina,GCA_001187785.1
1391,T04427,woc,Woeseia oceani,GCA_001677435.1
1392,T04938,gai,Granulosicoccus antarcticus,GCA_002215215.1
1393,T06369,ghl,Guyparkeria halophila,GCA_009734265.1
1394,T05229,ttc,Thiohalobacter thiocyanaticus,GCA_002356355.1
1395,T00307,hch,Hahella chejuensis,GCA_000012985.1
1396,T05793,hahe,Hahella sp. KA22,GCA_004014695.1
1397,T00347,csa,Chromohalobacter salexigens,GCA_000055785.1
1398,T01311,hel,Halomonas elongata,GCA_000196875.2
1399,T03198,hcs,Halomonas campaniensis,GCA_000696485.1
1400,T03800,hak,Halomonas sp. KO116,GCA_000734975.2
1401,T04029,ham,Halomonas sp. R57-5,GCA_900070345.1
1402,T04119,hhu,Halomonas huangheensis,GCA_001431725.1
1403,T04292,hco,Halomonas chromatireducens,GCA_001545155.1
1404,T04554,hsi,Halomonas aestuarii,GCA_001886615.1
1405,T04761,halo,Halomonas sp. 1513,GCA_001971685.1
1406,T05117,hhh,Halomonas hydrothermalis,GCA_002442575.1
1407,T05125,hbe,Halomonas beimenensis,GCA_002549795.1
1408,T05375,hag,Halomonas sp. GFAJ-1,GCA_002966495.1
1409,T05423,haf,Halomonas sp. SF2003,GCA_003032495.1
1410,T05720,halk,Halomonas alkaliphila,GCA_003612795.1
1411,T05892,hvn,Halomonas venusta,GCA_003950215.1
1412,T06227,hol,Halomonas olivaria,GCA_004295565.1
1413,T06264,hsr,Halomonas sulfidaeris,GCA_007182875.1
1414,T06424,hmd,Halomonas meridiana,GCA_009846525.1
1415,T06639,haxi,Halomonas axialensis,GCA_007163885.2
1416,T06950,htt,Halomonas titanicae,GCA_014697095.1
1417,T07024,hcam,Halomonas campisalis,GCA_015992245.1
1418,T07036,hpiz,Halomonas piezotolerans,GCA_012427705.1
1419,T02206,ple,Candidatus Portiera aleyrodidarum BT-B-HRs,GCA_000292685.1
1420,T02267,ply,Candidatus Portiera aleyrodidarum BT-B-HRs,GCA_000300075.1
1421,T02306,plr,Candidatus Portiera aleyrodidarum BT-QVLC,GCA_000298385.1
1422,T02307,plo,Candidatus Portiera aleyrodidarum BT-QVLC,GCA_000300035.1
1423,T02521,pld,Candidatus Portiera aleyrodidarum TV,GCA_000349745.1
1424,T03736,plb,Candidatus Portiera aleyrodidarum TV-BCN,GCA_000953395.1
1425,T03737,plc,Candidatus Portiera aleyrodidarum AD-CAI,GCA_000953295.1
1426,T03738,pli,Candidatus Portiera aleyrodidarum AF-CAI,GCA_000953415.1
1427,T03834,paly,Candidatus Portiera aleyrodidarum MED (Bemisia tabaci),GCA_000827855.1
1428,T00403,crp,Candidatus Carsonella ruddii PV,GCA_000010365.1
1429,T02194,cru,Candidatus Carsonella ruddii CE,GCA_000287235.1
1430,T02195,crc,Candidatus Carsonella ruddii CS,GCA_000287255.1
1431,T02196,crt,Candidatus Carsonella ruddii HT,GCA_000287295.1
1432,T02197,crh,Candidatus Carsonella ruddii HC,GCA_000287275.1
1433,T02198,crv,Candidatus Carsonella ruddii PC,GCA_000287315.1
1434,T02774,cri,Candidatus Carsonella ruddii DC,GCA_000441575.1
1435,T03696,eme,Candidatus Evansia muelleri,GCA_000953435.1
1436,T05646,zpl,Zymobacter palmae,GCA_003610015.1
1437,T04333,haa,Halotalea alkalilenta,GCA_001648175.1
1438,T04789,cmai,Cobetia marina,GCA_001720485.1
1439,T04839,kus,Kushneria konosiri,GCA_002155145.1
1440,T04840,kma,Kushneria marisflavi,GCA_002157205.1
1441,T06200,kuy,Kushneria phosphatilytica,GCA_008247605.1
1442,T06130,paur,Pistricoccus aurantiacus,GCA_007954585.1
1443,T00380,abo,Alcanivorax borkumensis,GCA_000009365.1
1444,T02259,adi,Alcanivorax dieselolei,GCA_000300005.1
1445,T03580,apac,Alcanivorax pacificus,GCA_000299335.2
1446,T03879,aln,Alcanivorax sp. NBRC 101098,GCA_001010505.1
1447,T04770,axe,Alcanivorax xenomutans,GCA_002072815.1
1448,T05294,kak,Ketobacter alkanivorans,GCA_002863865.1
1449,T00567,mmw,Marinomonas sp. MWYL1,GCA_000017285.1
1450,T01449,mme,Marinomonas mediterranea,GCA_000192865.1
1451,T01508,mpc,Marinomonas posidonica,GCA_000214215.1
1452,T06705,mpri,Marinomonas primoryensis,GCA_013372285.1
1453,T06902,mard,Marinomonas arctica,GCA_014623465.1
1454,T07165,mfoi,Marinomonas foliarum,GCA_016906065.1
1455,T07858,mprf,Marinomonas profundi,GCA_020694005.1
1456,T02529,tol,Thalassolituus oleivorans MIL-1,GCA_000355675.1
1457,T03056,tor,Thalassolituus oleivorans R6-15,GCA_000582555.1
1458,T04028,oai,Oleispira antarctica,GCA_000967895.1
1459,T04398,mars,Marinobacterium aestuarii,GCA_001651805.1
1460,T07136,mgeo,Marinobacterium georgiense,GCA_017310015.1
1461,T04982,bsan,Bacterioplanes sanyensis,GCA_002237535.1
1462,T06194,ncu,Neptunomonas concharum,GCA_008630635.1
1463,T07060,njp,Neptunomonas japonica,GCA_016592555.1
1464,T06212,nik,Nitrincola iocasae,GCA_008727795.1
1465,T06527,bmar,Bermanella marisrubri,GCA_012295615.1
1466,T06992,ajp,Amphritea japonica,GCA_016592435.1
1467,T07641,vcw,Venatorbacter cucullus,GCA_016132445.1
1468,T03690,gsn,Gynuella sunshinyii,GCA_000940805.1
1469,T05208,rfo,Reinekea forsetii,GCA_002795845.1
1470,T04860,ome,Oleiphilus messinensis,GCA_002162375.1
1471,T06278,llp,Litoricola lipolytica,GCA_009650135.1
1472,T00424,aha,Aeromonas hydrophila subsp. hydrophila ATCC 7966,GCA_000014805.1
1473,T02683,ahy,Aeromonas hydrophila ML09-119,GCA_000401555.1
1474,T03186,ahd,Aeromonas hydrophila YL17,GCA_000612075.2
1475,T03192,ahr,Aeromonas hydrophila subsp. hydrophila AL09-71,GCA_000633175.1
1476,T03193,ahp,Aeromonas hydrophila pc104A,GCA_000635955.1
1477,T03574,ahj,Aeromonas hydrophila J-1,GCA_000819505.1
1478,T03748,ahh,Aeromonas hydrophila AL06-06,GCA_000940915.1
1479,T03886,ahi,Aeromonas hydrophila AH10,GCA_000963645.1
1480,T04629,aaj,Aeromonas hydrophila MX16A,GCA_001895965.1
1481,T00500,asa,Aeromonas salmonicida subsp. salmonicida A449,GCA_000196395.1
1482,T04990,aeo,Aeromonas salmonicida O23A,GCA_002180335.1
1483,T01462,avr,Aeromonas veronii B565,GCA_000204115.1
1484,T04529,avo,Aeromonas veronii TH0426,GCA_001593245.1
1485,T03075,amed,Aeromonas media,GCA_000287215.3
1486,T04186,asr,Aeromonas schubertii,GCA_001447335.1
1487,T05186,adh,Aeromonas dhakensis,GCA_002285935.1
1488,T05190,acav,Aeromonas caviae,GCA_000959705.2
1489,T05327,aem,Aeromonas sp. CU5,GCA_002586745.1
1490,T05427,aea,Aeromonas sp. ASNIH3,GCA_002903405.1
1491,T05453,arv,Aeromonas rivipollensis,GCA_003015165.1
1492,T05873,aes,Aeromonas sp. ASNIH5,GCA_002902865.1
1493,T06531,ael,Aeromonas encheleia,GCA_900637545.1
1494,T07073,asim,Aeromonas simiae,GCA_014892695.1
1495,T07074,aall,Aeromonas allosaccharophila,GCA_016026615.1
1496,T07712,ajd,Aeromonas jandaei,GCA_016127195.1
1497,T07884,ariv,Aeromonas rivuli,GCA_020149575.1
1498,T00904,tau,Tolumonas auensis,GCA_000023065.1
1499,T01667,oce,Oceanimonas sp. GK1,GCA_000243075.1
1500,T04855,ocm,Oceanisphaera avium,GCA_002157875.1
1501,T04856,opf,Oceanisphaera profunda,GCA_002157895.1
1502,T05100,zdf,Zobellella denitrificans,GCA_002407485.1
1503,T00973,kko,Kangiella koreensis,GCA_000024085.1
1504,T03889,kge,Kangiella geojedonensis,GCA_000981765.1
1505,T04467,ksd,Kangiella sediminilitoris,GCA_001708405.1
1506,T05254,kpd,Kangiella profundi,GCA_002838765.1
1507,T00517,dno,Dichelobacter nodosus,GCA_000015345.1
1508,T05791,chj,Cardiobacterium hominis,GCA_900637305.1
1509,T07824,sutr,Suttonella sp. R2A3,GCA_021513215.1
1510,T03066,gap,Gilliamella apicola,GCA_000599985.1
1511,T03525,fpp,Frischella perrara,GCA_000807275.1
1512,T06493,orb,Zophobihabitans entericus,GCA_011745665.1
1513,T04296,sdf,Steroidobacter denitrificans,GCA_001579945.1
1514,T05591,sok,Solimonas sp. K1W22B-7,GCA_003428335.1
1515,T06400,sini,Sinimarinibacterium sp. NLF-5-8,GCA_010092425.1
1516,T04454,gbi,Immundisolibacter cernigliae,GCA_001697225.1
1517,T05241,slim,Sulfuricaulis limicola,GCA_002355735.1
1518,T05321,sva,Sulfurifustis variabilis,GCA_002355415.1
1519,T05469,acii,Acidiferrobacter sp. SPIII_3,GCA_003184265.1
1520,T07877,aty,Acidiferrobacter thiooxydans,GCA_001705075.2
1521,T05476,saln,Salinisphaera sp. LB1,GCA_003177035.1
1522,T03600,tbn,Thiolapillus brandeum,GCA_000828615.1
1523,T03943,seds,Sedimenticola thiotaurini,GCA_001007875.1
1524,T04071,tsn,Candidatus Pseudothioglobus singularis,GCA_001281385.1
1525,T05818,thin,Candidatus Thioglobus sp. NP1,GCA_003326015.1
1526,T04079,tho,Candidatus Thioglobus autotrophicus,GCA_001293165.1
1527,T04158,pspi,Pseudohongiella spirulinae,GCA_001444425.1
1528,T06000,eof,Endosymbiont of Sipalinus gigas,GCA_004296475.1
1529,T07618,eor,Endosymbiont of Rhynchophorus ferrugineus,GCA_004296495.1
1530,T07678,eop,Endosymbiont of Pachyrhynchus infernalis,GCA_004296515.1
1531,T06650,rev,Candidatus Reidiella endopervernicosa,GCA_013343005.1
1532,T07098,acil,Candidatus Azoamicus ciliaticola,GCA_902860225.1
1533,T07531,cdiz,Celerinatantimonas diazotrophica,GCA_914590485.1
1534,T07600,sade,Candidatus Steffania adelgidicola,GCA_020541225.1
1535,T00438,rma,Candidatus Ruthia magnifica (Calyptogena magnifica),GCA_000015105.1
1536,T06701,reo,Candidatus Ruthia endofausta,GCA_013342985.1
1537,T00530,vok,Candidatus Vesicomyosocius okutanii,GCA_000010405.1
1538,T04606,ebh,Endosymbiont of Bathymodiolus septemdierum,GCA_001547755.1
1539,T07716,bthg,Bathymodiolus thermophilus thioautotrophic gill symbiont,GCA_003711265.1
1540,T00349,bci,Baumannia cicadellinicola Hc (Homalodisca coagulata),GCA_000013185.1
1541,T03277,bcib,Candidatus Baumannia cicadellinicola BGSS,GCA_000754265.1
1542,T04544,bcig,Candidatus Baumannia cicadellinicola B-GSS,GCA_001269425.1
1543,T01300,gpb,Gamma proteobacterium HdN1,GCA_000198515.1
1544,T04530,enm,Endosymbiont of unidentified scaly snail isolate Monju,GCA_000801295.1
1545,T07679,eeu,Endosymbiont of Euscepes postfasciatus,GCA_004296535.1
1546,T00027,nme,Neisseria meningitidis MC58 (serogroup B),GCA_000008805.1
1547,T01932,nmp,Neisseria meningitidis alpha710 (serogroup B),GCA_000152165.1
1548,T01946,nmh,Neisseria meningitidis H44/76 (serogroup B),GCA_000191445.1
1549,T01929,nmd,Neisseria meningitidis G2136 (serogroup B),GCA_000191425.1
1550,T01930,nmm,Neisseria meningitidis M01-240149 (serogroup B),GCA_000191465.1
1551,T01947,nms,Neisseria meningitidis M01-240355 (serogroup B),GCA_000191485.1
1552,T01948,nmq,Neisseria meningitidis M04-240196 (serogroup B),GCA_000191505.1
1553,T01949,nmz,Neisseria meningitidis NZ-05/33 (serogroup B),GCA_000191525.1
1554,T00031,nma,Neisseria meningitidis Z2491 (serogroup A),GCA_000009105.1
1555,T01931,nmw,Neisseria meningitidis WUE 2594 (serogroup A),GCA_000253215.1
1556,T03438,nmx,Neisseria meningitidis 510612 (serogroup A),GCA_000626595.1
1557,T00458,nmc,Neisseria meningitidis FAM18 (serogroup C),GCA_000009465.1
1558,T00633,nmn,Neisseria meningitidis 053442 (serogroup C),GCA_000014105.1
1559,T01928,nmt,Neisseria meningitidis 8013 (serogroup C),GCA_000026965.1
1560,T00954,nmi,Neisseria meningitidis alpha14 (cnl strain),GCA_000083565.1
1561,T00237,ngo,Neisseria gonorrhoeae FA 1090,GCA_000006845.1
1562,T00728,ngk,Neisseria gonorrhoeae NCCP11945,GCA_000020105.1
1563,T01368,nla,Neisseria lactamica,GCA_000196295.1
1564,T03569,nel,Neisseria elongata,GCA_000818035.1
1565,T04355,nwe,Neisseria weaveri,GCA_900086555.1
1566,T04958,nsi,Neisseria mucosa FDAARGOS_260,GCA_002073715.2
1567,T05436,nmj,Neisseria mucosa ATCC 19696,GCA_003028315.1
1568,T05718,nei,Neisseria chenwenguii,GCA_002216145.1
1569,T05913,nek,Neisseria sp. KEM232,GCA_002237445.1
1570,T06171,nfv,Neisseria flavescens,GCA_005221285.1
1571,T06236,nsf,Neisseria subflava,GCA_005221305.1
1572,T06266,nzl,Neisseria zalophi,GCA_008807015.1
1573,T06425,naq,Neisseria animalis,GCA_008806995.1
1574,T06557,nbl,Neisseria brasiliensis,GCA_009671065.1
1575,T06683,nzo,Neisseria zoodegmatis,GCA_900187305.1
1576,T06799,nci,Neisseria canis,GCA_900636765.1
1577,T06828,ncz,Neisseria cinerea,GCA_900475315.1
1578,T06907,nani,Neisseria animaloris,GCA_900638345.1
1579,T06984,nbc,Neisseria bacilliformis,GCA_014055025.1
1580,T07067,nwd,Neisseria wadsworthii,GCA_014054885.1
1581,T07084,nsg,Neisseria shayeganii,GCA_014054965.1
1582,T07094,nmus,Neisseria musculi,GCA_014297595.1
1583,T07263,nsc,Neisseria sicca,GCA_017753665.1
1584,T07577,npf,Neisseria perflava,GCA_019334725.1
1585,T07671,ndn,Neisseria dentiae,GCA_014055005.1
1586,T03063,salv,Snodgrassella alvi,GCA_000600005.1
1587,T04151,kki,Kingella kingae,GCA_001458475.1
1588,T06724,koa,Kingella oralis,GCA_014054985.1
1589,T04960,vff,Vitreoscilla filiformis,GCA_002222655.1
1590,T05336,vit,Vitreoscilla sp. C1,GCA_002951955.2
1591,T05039,ecor,Eikenella corrodens,GCA_900187105.1
1592,T06211,eex,Eikenella exigua,GCA_008805035.1
1593,T05344,smur,Simonsiella muelleri,GCA_002951835.1
1594,T06725,aff,Alysiella filiformis,GCA_014054525.1
1595,T06730,cste,Conchiformibius steedae,GCA_014054725.1
1596,T05482,nba,Aquella oligotrophica,GCA_002892535.1
